Type,Description,Bedrooms,Bathroom,Area,Neighborhood,Disctrict,Price
House,House on sale,3,2,114,Barracas,Disctrict 4,416000000
Apartment,Apartment on sale,3,1,53,San Telmo,Disctrict 1,168000000
House,House on sale,3,2,114,Coghlan,Disctrict 12,416000000
Apartment,Apartment on sale,2,2,81,Liniers,Disctrict 9,510000000
Apartment,Apartment on sale,1,2,55,Constitucion,Disctrict 1,388000000
Apartment,Apartment on sale,2,2,73,Versalles,Disctrict 10,320000000
Apartment,Apartment on sale,3,2,75,Palermo,Disctrict 14,319000000
Apartment,Apartment on sale,3,1,61,Villa Luro,Disctrict 10,280000000
House,House on sale,3,2,84,Villa Santa Rita,Disctrict 11,350000000
Apartment,Apartment on sale,3,3,66,Belgrano,Disctrict 13,261500000
Apartment,Apartment on sale,3,3,94,Palermo,Disctrict 14,485000000
Apartment,Apartment on sale,1,1,23,Liniers,Disctrict 9,180000000
Apartment,Apartment on sale,3,4,219,Villa Luro,Disctrict 10,1450000000
Apartment,Apartment on sale,3,2,55,Montserrat,Disctrict 1,250000000
Apartment,Apartment on sale,3,2,88,Parque Patricios,Disctrict 4,408000000
House,House on sale,3,3,71,Puerto Madero,Disctrict 1,230000000
Apartment,Apartment on sale,2,3,67,Villa Lugano,Disctrict 8,477000000
Apartment,Apartment on sale,3,2,63,Belgrano,Disctrict 13,280000000
Apartment,Apartment on sale,1,1,52,Martinez,Disctrict 13,255000000
Apartment,Apartment on sale,3,2,65,Villa Lugano,Disctrict 8,330000000
House,House on sale,3,5,290,Floresta,Disctrict 10,1200000000
Apartment,Apartment on sale,2,1,63,Floresta,Disctrict 10,345000000
Apartment,Apartment on sale,4,4,230,Villa Riachuelo,Disctrict 8,2200000000
Apartment,Apartment on sale,1,2,72,Recoleta,Disctrict 2,450000000
Apartment,Apartment on sale,3,4,300,Parque Chacabuco,Disctrict 7,3000000000
House,House on sale,3,4,159,Nueva Pompeya,Disctrict 4,595000000
Apartment,Apartment on sale,2,2,73,Barracas,Disctrict 4,260000000
Apartment,Apartment on sale,3,2,55,Villa Lugano,Disctrict 8,260000000
Apartment,Apartment on sale,2,2,88,Martinez,Disctrict 13,640000000
Apartment,Apartment on sale,3,2,80,Villa Santa Rita,Disctrict 11,385000000
Apartment,Apartment on sale,3,3,102,Liniers,Disctrict 9,600000000
Apartment,Apartment on sale,2,2,78,Parque Avellaneda,Disctrict 9,475000000
Apartment,Apartment on sale,2,3,139,Retiro,Disctrict 1,825000000
Apartment,Apartment on sale,2,2,70,Montserrat,Disctrict 1,415000000
Apartment,Apartment on sale,2,2,66,Parque Avellaneda,Disctrict 9,430000000
Apartment,Apartment on sale,3,3,89,Puerto Madero,Disctrict 1,460000000
Apartment,Apartment on sale,2,2,83,Caballito,Disctrict 6,450000000
Apartment,Apartment on sale,3,5,342,Montserrat,Disctrict 1,3500000000
House,House on sale,4,2,77,Almagro,Disctrict 5,255000000
Apartment,Apartment on sale,2,1,60,Villa Urquiza,Disctrict 12,260000000
Apartment,Apartment on sale,3,3,66,San Cristobal,Disctrict 3,261500000
Apartment,Apartment on sale,3,2,88,Colegiales,Disctrict 13,408000000
Apartment,Apartment on sale,3,2,88,Villa Gral. Mitre,Disctrict 11,408000000
Apartment,Apartment on sale,2,1,45,Mataderos,Disctrict 9,116000000
House,House on sale,5,3,130,Villa Santa Rita,Disctrict 11,505000000
Apartment,Apartment on sale,2,2,81,Colegiales,Disctrict 13,510000000
House,House on sale,2,1,54,Villa Ortazar,Disctrict 15,167000000
House,House on sale,1,2,58,Recoleta,Disctrict 2,419600000
House,House on sale,3,3,140,Villa Urquiza,Disctrict 12,534000000
Apartment,Apartment on sale,2,3,77,Constitucion,Disctrict 1,445000000
Apartment,Apartment on sale,3,3,82,Villa del Parque,Disctrict 11,300000000
Apartment,Apartment on sale,2,2,79,Villa Soldati,Disctrict 8,354000000
Apartment,Apartment on sale,2,2,60,Villa Urquiza,Disctrict 12,299000000
House,House on sale,3,3,146,Saavedra,Disctrict 12,690000000
Apartment,Apartment on sale,2,2,68,Villa Pueyrredon,Disctrict 12,508000000
Apartment,Apartment on sale,3,2,95,Velez Sarsfield,Disctrict 10,442436000
Apartment,Apartment on sale,3,2,78,Saavedra,Disctrict 12,232000000
Apartment,Apartment on sale,3,2,66,Parque Chas,Disctrict 15,285000000
Apartment,Apartment on sale,2,2,64,San Telmo,Disctrict 1,277000000
Apartment,Apartment on sale,2,1,41,Martinez,Disctrict 13,188000000
Apartment,Apartment on sale,1,2,64,Balvanera,Disctrict 3,385000000
Apartment,Apartment on sale,2,2,74,Constitucion,Disctrict 1,489000000
Apartment,Apartment on sale,3,2,82,Villa Pueyrredon,Disctrict 12,340000000
Apartment,Apartment on sale,3,2,68,Puerto Madero,Disctrict 1,323000000
House,House on sale,3,5,175,Boedo,Disctrict 5,1170000000
House,House on sale,8,5,142,Barracas,Disctrict 4,450000000
Apartment,Apartment on sale,2,2,75,Flores,Disctrict 7,580000000
Apartment,Apartment on sale,3,2,88,Parque Chacabuco,Disctrict 7,408000000
Apartment,Apartment on sale,3,3,173,Villa Riachuelo,Disctrict 8,730000000
Apartment,Apartment on sale,3,2,54,Belgrano,Disctrict 13,280000000
Apartment,Apartment on sale,3,2,70,Villa Crespo,Disctrict 15,298500000
Apartment,Apartment on sale,2,2,62,Floresta,Disctrict 10,411000000
Apartment,Apartment on sale,3,2,61,Belgrano,Disctrict 13,270000000
Apartment,Apartment on sale,3,2,73,Retiro,Disctrict 1,318000000
Apartment,Apartment on sale,2,2,85,Nueva Pompeya,Disctrict 4,550000000
Apartment,Apartment on sale,3,3,164,San Telmo,Disctrict 1,1150000000
Apartment,Apartment on sale,3,3,175,La Boca,Disctrict 4,1200000000
Apartment,Apartment on sale,3,5,310,Montserrat,Disctrict 1,2900000000
House,House on sale,4,5,566,Villa Riachuelo,Disctrict 8,2800000000
Apartment,Apartment on sale,3,3,125,Villa Luro,Disctrict 10,900000000
Apartment,Apartment on sale,3,2,63,Agronomia,Disctrict 15,290500000
Apartment,Apartment on sale,1,2,70,Parque Chas,Disctrict 15,474500000
House,House on sale,5,5,205,Agronomia,Disctrict 15,1100000000
Apartment,Apartment on sale,1,1,59,Villa Santa Rita,Disctrict 11,390000000
Apartment,Apartment on sale,3,3,177,San Telmo,Disctrict 1,875000000
Apartment,Apartment on sale,3,2,76,Villa Riachuelo,Disctrict 8,375000000
Apartment,Apartment on sale,2,2,80,Liniers,Disctrict 9,349000000
Apartment,Apartment on sale,3,4,186,Parque Chas,Disctrict 15,1300000000
Apartment,Apartment on sale,3,4,365,Montserrat,Disctrict 1,2865000000
Apartment,Apartment on sale,3,2,82,Barracas,Disctrict 4,406000000
Apartment,Apartment on sale,3,4,184,Villa Gral. Mitre,Disctrict 11,920000000
Apartment,Apartment on sale,2,3,85,Parque Chas,Disctrict 15,519000000
Apartment,Apartment on sale,3,3,96,Agronomia,Disctrict 15,500000000
Apartment,Apartment on sale,4,5,345,Villa Real,Disctrict 10,3600000000
Apartment,Apartment on sale,3,2,70,Constitucion,Disctrict 1,280000000
Apartment,Apartment on sale,2,2,57,Villa Crespo,Disctrict 15,225000000
Apartment,Apartment on sale,3,2,86,Agronomia,Disctrict 15,451000000
Apartment,Apartment on sale,3,2,75,Parque Patricios,Disctrict 4,350000000
Apartment,Apartment on sale,3,2,92,Parque Avellaneda,Disctrict 9,491000000
Apartment,Apartment on sale,2,3,196,Velez Sarsfield,Disctrict 10,1550000000
Apartment,Apartment on sale,1,2,75,Villa Crespo,Disctrict 15,560000000
Apartment,Apartment on sale,3,3,215,Villa Devoto,Disctrict 11,1250000000
Apartment,Apartment on sale,1,2,98,Floresta,Disctrict 10,980000000
Apartment,Apartment on sale,3,3,215,Belgrano,Disctrict 13,1250000000
Apartment,Apartment on sale,3,3,247,Parque Avellaneda,Disctrict 9,2800000000
Apartment,Apartment on sale,3,4,325,Villa Crespo,Disctrict 15,2200000000
Apartment,Apartment on sale,3,4,333,Villa Real,Disctrict 10,5500000000
Apartment,Apartment on sale,3,2,54,Agronomia,Disctrict 15,165000000
Apartment,Apartment on sale,3,3,66,Parque Patricios,Disctrict 4,261500000
Apartment,Apartment on sale,3,2,88,Montserrat,Disctrict 1,405000000
Apartment,Apartment on sale,4,3,96,San Telmo,Disctrict 1,423000000
Apartment,Apartment on sale,3,2,88,Retiro,Disctrict 1,500000000
House,House on sale,5,5,355,Saavedra,Disctrict 12,550000000
House,House on sale,4,5,187,Palermo,Disctrict 14,1050000000
Apartment,Apartment on sale,3,3,224,San Nicolas,Disctrict 1,1490000000
Apartment,Apartment on sale,1,2,48,Villa del Parque,Disctrict 11,600000000
Apartment,Apartment on sale,2,2,57,Monte Castro,Disctrict 10,273000000
Apartment,Apartment on sale,3,2,67,La Boca,Disctrict 4,268000000
Apartment,Apartment on sale,3,2,75,Villa del Parque,Disctrict 11,315000000
Apartment,Apartment on sale,3,2,98,Constitucion,Disctrict 1,458000000
Apartment,Apartment on sale,3,2,60,Villa Ortazar,Disctrict 15,258000000
Apartment,Apartment on sale,3,3,108,Recoleta,Disctrict 2,670000000
Apartment,Apartment on sale,3,2,62,Villa Crespo,Disctrict 15,274000000
Apartment,Apartment on sale,3,2,71,Villa Soldati,Disctrict 8,290000000
Apartment,Apartment on sale,3,2,85,Villa Devoto,Disctrict 11,347000000
House,House on sale,3,3,80,Constitucion,Disctrict 1,346000000
Apartment,Apartment on sale,2,3,153,Belgrano,Disctrict 13,739000000
House,House on sale,4,2,250,Parque Chacabuco,Disctrict 7,900000000
Apartment,Apartment on sale,3,2,77,Villa Lugano,Disctrict 8,316000000
Apartment,Apartment on sale,2,3,153,Colegiales,Disctrict 13,739000000
Apartment,Apartment on sale,2,3,153,Palermo,Disctrict 14,739000000
Apartment,Apartment on sale,3,2,70,San Telmo,Disctrict 1,350000000
Apartment,Apartment on sale,3,2,68,Villa Urquiza,Disctrict 12,350000000
Apartment,Apartment on sale,2,3,153,Barracas,Disctrict 4,739000000
Apartment,Apartment on sale,3,2,80,Villa Luro,Disctrict 10,528000000
House,House on sale,3,4,248,Flores,Disctrict 7,840000000
House,House on sale,5,2,210,Villa Santa Rita,Disctrict 11,1000000000
Apartment,Apartment on sale,2,3,153,Chacarita,Disctrict 15,739000000
Oficina/Consultorio,Oficina/Consultorio on sale,2,2,37,Martinez,Disctrict 13,330000000
Apartment,Apartment on sale,3,3,103,Chacarita,Disctrict 15,418000000
Apartment,Apartment on sale,2,2,79,Villa Luro,Disctrict 10,354000000
Apartment,Apartment on sale,3,2,132,Villa Luro,Disctrict 10,490000000
Apartment,Apartment on sale,3,2,120,Montserrat,Disctrict 1,980000000
Apartment,Apartment on sale,3,3,160,Mataderos,Disctrict 9,615000000
Apartment,Apartment on sale,4,4,223,Saavedra,Disctrict 12,1500000000
Apartment,Apartment on sale,3,3,154,La Paternal,Disctrict 15,830000000
House,House on sale,3,4,180,Versalles,Disctrict 10,2500000000
Apartment,Apartment on sale,2,2,63,Chacarita,Disctrict 15,335000000
Apartment,Apartment on sale,5,5,354,Monte Castro,Disctrict 10,2150000000
Apartment,Apartment on sale,3,3,131,Villa Ortazar,Disctrict 15,1000000000
Apartment,Apartment on sale,3,3,150,Floresta,Disctrict 10,1100000000
Apartment,Apartment on sale,3,3,96,Nueva Pompeya,Disctrict 4,450000000
House,House on sale,3,3,201,Villa Urquiza,Disctrict 12,980000000
Apartment,Apartment on sale,3,2,60,Liniers,Disctrict 9,250000000
Apartment,Apartment on sale,3,3,186,Monte Castro,Disctrict 10,1800000000
Apartment,Apartment on sale,3,3,214,San Cristobal,Disctrict 3,1500000000
Apartment,Apartment on sale,3,2,67,Villa Devoto,Disctrict 11,295000000
Apartment,Apartment on sale,3,3,150,Parque Chas,Disctrict 15,1280000000
House,House on sale,4,3,239,Puerto Madero,Disctrict 1,920000000
Apartment,Apartment on sale,3,3,104,Colegiales,Disctrict 13,900000000
Apartment,Apartment on sale,3,3,188,Montserrat,Disctrict 1,870000000
Apartment,Apartment on sale,3,3,120,Versalles,Disctrict 10,750000000
House,House on sale,4,4,250,Villa Gral. Mitre,Disctrict 11,1700000000
House,House on sale,3,3,300,Parque Chacabuco,Disctrict 7,1600000000
Apartment,Apartment on sale,2,3,92,Velez Sarsfield,Disctrict 10,860000000
Apartment,Apartment on sale,3,2,58,San Cristobal,Disctrict 3,116000000
Apartment,Apartment on sale,3,2,70,Retiro,Disctrict 1,332808000
Apartment,Apartment on sale,3,2,82,Montserrat,Disctrict 1,340000000
Apartment,Apartment on sale,2,2,62,Monte Castro,Disctrict 10,411000000
Apartment,Apartment on sale,3,2,93,Villa Gral. Mitre,Disctrict 11,500000000
Apartment,Apartment on sale,3,3,200,Constitucion,Disctrict 1,1550000000
Apartment,Apartment on sale,3,3,149,Martinez,Disctrict 13,1080000000
Apartment,Apartment on sale,3,3,267,Villa Crespo,Disctrict 15,2200000000
Apartment,Apartment on sale,4,6,540,Parque Chacabuco,Disctrict 7,7500000000
Apartment,Apartment on sale,1,1,59,Villa Luro,Disctrict 10,390000000
Apartment,Apartment on sale,3,2,59,Liniers,Disctrict 9,245000000
Apartment,Apartment on sale,3,4,250,Villa Lugano,Disctrict 8,2700000000
Apartment,Apartment on sale,3,3,161,Retiro,Disctrict 1,1000000000
Apartment,Apartment on sale,3,2,82,Parque Avellaneda,Disctrict 9,397000000
House,House on sale,7,4,479,Caballito,Disctrict 6,7000000000
Apartment,Apartment on sale,3,3,103,Villa Lugano,Disctrict 8,418000000
Apartment,Apartment on sale,3,3,115,Villa Pueyrredon,Disctrict 12,468000000
Apartment,Apartment on sale,2,2,71,Villa Real,Disctrict 10,422000000
Apartment,Apartment on sale,2,2,60,Parque Patricios,Disctrict 4,396000000
Apartment,Apartment on sale,4,7,550,San Telmo,Disctrict 1,7200000000
Apartment,Apartment on sale,3,3,123,San Telmo,Disctrict 1,740000000
Apartment,Apartment on sale,3,2,86,Mataderos,Disctrict 9,451000000
Apartment,Apartment on sale,3,2,75,Saavedra,Disctrict 12,350000000
Apartment,Apartment on sale,2,2,94,Retiro,Disctrict 1,440000000
Apartment,Apartment on sale,2,3,104,Colegiales,Disctrict 13,720000000
Apartment,Apartment on sale,3,4,210,Flores,Disctrict 7,1300000000
Apartment,Apartment on sale,3,4,202,Chacarita,Disctrict 15,1300000000
Apartment,Apartment on sale,4,5,317,Parque Chacabuco,Disctrict 7,2300000000
Apartment,Apartment on sale,3,3,125,Palermo,Disctrict 14,900000000
Apartment,Apartment on sale,3,2,63,Villa Riachuelo,Disctrict 8,290500000
Apartment,Apartment on sale,1,2,70,Villa Gral. Mitre,Disctrict 11,474500000
Apartment,Apartment on sale,3,4,210,Villa Real,Disctrict 10,2200000000
Apartment,Apartment on sale,3,1,52,Villa Santa Rita,Disctrict 11,120000000
Apartment,Apartment on sale,3,2,58,Villa Gral. Mitre,Disctrict 11,116000000
Apartment,Apartment on sale,3,1,53,Montserrat,Disctrict 1,168000000
Apartment,Apartment on sale,2,3,201,Colegiales,Disctrict 13,1150000000
Apartment,Apartment on sale,3,4,214,Villa Ortazar,Disctrict 15,1680000000
Apartment,Apartment on sale,3,3,115,Villa Soldati,Disctrict 8,680000000
Apartment,Apartment on sale,2,2,131,La Boca,Disctrict 4,740000000
House,House on sale,3,4,300,Balvanera,Disctrict 3,1850000000
Apartment,Apartment on sale,3,2,174,Puerto Madero,Disctrict 1,750000000
Apartment,Apartment on sale,3,5,129,Villa Santa Rita,Disctrict 11,820000000
Apartment,Apartment on sale,2,3,122,Velez Sarsfield,Disctrict 10,890000000
House,House on sale,3,5,264,Caballito,Disctrict 6,1500000000
House,House on sale,9,4,250,Parque Patricios,Disctrict 4,460000000
Apartment,Apartment on sale,3,3,194,Belgrano,Disctrict 13,1350000000
Apartment,Apartment on sale,3,2,105,Villa Ortazar,Disctrict 15,435000000
Apartment,Apartment on sale,3,4,220,Belgrano,Disctrict 13,2000000000
Apartment,Apartment on sale,2,2,48,Caballito,Disctrict 6,145000000
Apartment,Apartment on sale,3,3,88,Barracas,Disctrict 4,398000000
Apartment,Apartment on sale,1,1,48,San Telmo,Disctrict 1,320000000
House,House on sale,7,2,270,Floresta,Disctrict 10,950000000
Apartment,Apartment on sale,2,2,85,San Cristobal,Disctrict 3,760000000
House,House on sale,5,3,325,Parque Chas,Disctrict 15,550000000
Apartment,Apartment on sale,1,1,57,Parque Chacabuco,Disctrict 7,450000000
Apartment,Apartment on sale,3,2,90,Almagro,Disctrict 5,560000000
Apartment,Apartment on sale,5,5,170,Villa Gral. Mitre,Disctrict 11,880000000
Apartment,Apartment on sale,3,3,164,Nueva Pompeya,Disctrict 4,1400000000
Apartment,Apartment on sale,3,4,165,Barracas,Disctrict 4,730000000
Apartment,Apartment on sale,3,3,88,Villa Ortazar,Disctrict 15,650000000
Apartment,Apartment on sale,3,4,127,Barracas,Disctrict 4,380000000
Apartment,Apartment on sale,3,2,136,Nueva Pompeya,Disctrict 4,550000000
House,House on sale,3,2,114,Recoleta,Disctrict 2,416000000
Apartment,Apartment on sale,3,2,111,Villa Luro,Disctrict 10,680000000
Apartment,Apartment on sale,3,2,81,La Boca,Disctrict 4,330000000
House,House on sale,9,5,523,Almagro,Disctrict 5,2000000000
Apartment,Apartment on sale,3,1,96,San Cristobal,Disctrict 3,170000000
Apartment,Apartment on sale,4,2,95,San Cristobal,Disctrict 3,390000000
Apartment,Apartment on sale,3,2,80,Velez Sarsfield,Disctrict 10,320000000
Apartment,Apartment on sale,3,3,139,La Boca,Disctrict 4,890000000
Apartment,Apartment on sale,3,3,76,Villa Santa Rita,Disctrict 11,450000000
Apartment,Apartment on sale,3,2,75,Villa del Parque,Disctrict 11,404000000
Apartment,Apartment on sale,3,1,43,La Boca,Disctrict 4,150000000
House,House on sale,4,3,185,Villa Santa Rita,Disctrict 11,850000000
Apartment,Apartment on sale,3,2,105,Parque Patricios,Disctrict 4,624750000
Apartment,Apartment on sale,3,2,54,Flores,Disctrict 7,249000000
Apartment,Apartment on sale,2,1,40,Puerto Madero,Disctrict 1,142000000
Apartment,Apartment on sale,2,2,81,Retiro,Disctrict 1,510000000
Apartment,Apartment on sale,3,2,60,Villa Soldati,Disctrict 8,235000000
House,House on sale,3,4,220,Villa Ortazar,Disctrict 15,950000000
Apartment,Apartment on sale,2,1,72,Recoleta,Disctrict 2,290000000
House,House on sale,9,3,412,Villa Devoto,Disctrict 11,900000000
Apartment,Apartment on sale,3,2,50,Villa del Parque,Disctrict 11,180000000
Apartment,Apartment on sale,3,2,50,Parque Chas,Disctrict 15,180000000
House,House on sale,4,3,69,Chacarita,Disctrict 15,310000000
House,House on sale,1,2,150,Coghlan,Disctrict 12,1100000000
Apartment,Apartment on sale,1,2,50,Parque Avellaneda,Disctrict 9,303960000
Apartment,Apartment on sale,1,2,50,Belgrano,Disctrict 13,303960000
Apartment,Apartment on sale,2,3,134,Puerto Madero,Disctrict 1,1040000000
House,House on sale,3,2,86,Floresta,Disctrict 10,350000000
Apartment,Apartment on sale,2,1,38,Villa Crespo,Disctrict 15,115000000
House,House on sale,5,3,130,Liniers,Disctrict 9,330000000
Apartment,Apartment on sale,4,4,250,Martinez,Disctrict 13,2200000000
Apartment,Apartment on sale,3,1,47,La Paternal,Disctrict 15,129000000
Apartment,Apartment on sale,3,2,59,Parque Patricios,Disctrict 4,205000000
Apartment,Apartment on sale,3,3,115,Villa Santa Rita,Disctrict 11,760000000
Apartment,Apartment on sale,3,2,81,Caballito,Disctrict 6,311000000
Apartment,Apartment on sale,2,3,153,Retiro,Disctrict 1,739000000
Apartment,Apartment on sale,3,2,80,Villa del Parque,Disctrict 11,528000000
Apartment,Apartment on sale,2,3,153,Villa Soldati,Disctrict 8,739000000
House,House on sale,3,4,450,Nueva Pompeya,Disctrict 4,1600000000
Apartment,Apartment on sale,3,5,150,Saavedra,Disctrict 12,1300000000
Apartment,Apartment on sale,2,3,153,Mataderos,Disctrict 9,739000000
Apartment,Apartment on sale,3,2,80,San Nicolas,Disctrict 1,528000000
Apartment,Apartment on sale,3,1,49,Floresta,Disctrict 10,134000000
House,House on sale,14,5,382,Martinez,Disctrict 13,1750000000
Apartment,Apartment on sale,3,2,70,Retiro,Disctrict 1,350000000
House,House on sale,4,2,72,Parque Chas,Disctrict 15,365000000
Apartment,Apartment on sale,1,2,65,Puerto Madero,Disctrict 1,550000000
House,House on sale,5,3,130,Velez Sarsfield,Disctrict 10,330000000
Apartment,Apartment on sale,3,1,51,Parque Chacabuco,Disctrict 7,172000000
Apartment,Apartment on sale,3,1,51,San Nicolas,Disctrict 1,169000000
Apartment,Apartment on sale,2,2,54,Nueva Pompeya,Disctrict 4,250000000
Apartment,Apartment on sale,4,2,87,Parque Avellaneda,Disctrict 9,380000000
Apartment,Apartment on sale,3,1,42,Villa Real,Disctrict 10,170000000
Apartment,Apartment on sale,2,2,54,Villa Pueyrredon,Disctrict 12,210000000
House,House on sale,14,8,563,Almagro,Disctrict 5,1000000000
Apartment,Apartment on sale,3,2,81,Villa Pueyrredon,Disctrict 12,311000000
House,House on sale,3,3,65,Coghlan,Disctrict 12,315000000
Apartment,Apartment on sale,3,2,49,Versalles,Disctrict 10,148000000
Apartment,Apartment on sale,3,2,64,Flores,Disctrict 7,190000000
House,House on sale,4,2,72,Barracas,Disctrict 4,365000000
Apartment,Apartment on sale,3,1,51,Belgrano,Disctrict 13,169000000
Apartment,Apartment on sale,3,1,51,Montserrat,Disctrict 1,177000000
Apartment,Apartment on sale,3,1,51,Parque Chacabuco,Disctrict 7,169000000
Apartment,Apartment on sale,2,1,52,Villa Lugano,Disctrict 8,200000000
Apartment,Apartment on sale,3,2,64,Villa Crespo,Disctrict 15,190000000
Apartment,Apartment on sale,3,2,87,Flores,Disctrict 7,400000000
Apartment,Apartment on sale,3,1,45,Villa Urquiza,Disctrict 12,176000000
Apartment,Apartment on sale,3,1,51,Constitucion,Disctrict 1,177000000
Apartment,Apartment on sale,3,1,42,Barracas,Disctrict 4,170000000
Apartment,Apartment on sale,3,1,51,Flores,Disctrict 7,172000000
Apartment,Apartment on sale,1,1,31,Balvanera,Disctrict 3,241200000
Apartment,Apartment on sale,1,1,37,Villa Gral. Mitre,Disctrict 11,275000000
Oficina/Consultorio,Oficina/Consultorio on sale,3,3,106,Belgrano,Disctrict 13,700000000
Apartment,Apartment on sale,2,3,84,Villa Soldati,Disctrict 8,690000000
House,House on sale,3,3,91,Flores,Disctrict 7,435000000
Apartment,Apartment on sale,2,2,81,Villa Santa Rita,Disctrict 11,415000000
House,House on sale,4,2,65,Flores,Disctrict 7,190000000
House,House on sale,3,2,80,Velez Sarsfield,Disctrict 10,365000000
Apartment,Apartment on sale,3,2,70,Villa Real,Disctrict 10,226000000
Apartment,Apartment on sale,2,1,45,Almagro,Disctrict 5,116000000
Apartment,Apartment on sale,2,1,62,Flores,Disctrict 7,360000000
Apartment,Apartment on sale,2,3,153,Agronomia,Disctrict 15,739000000
Apartment,Apartment on sale,2,3,153,Villa Santa Rita,Disctrict 11,739000000
Apartment,Apartment on sale,3,3,77,San Telmo,Disctrict 1,520000000
Apartment,Apartment on sale,3,1,42,Versalles,Disctrict 10,170000000
Apartment,Apartment on sale,2,2,81,Villa Urquiza,Disctrict 12,510000000
Apartment,Apartment on sale,1,2,55,Villa Gral. Mitre,Disctrict 11,388000000
Apartment,Apartment on sale,3,3,66,Chacarita,Disctrict 15,261500000
Apartment,Apartment on sale,3,3,94,Retiro,Disctrict 1,485000000
House,House on sale,3,2,114,Villa Devoto,Disctrict 11,416000000
Apartment,Apartment on sale,1,1,23,Villa Soldati,Disctrict 8,180000000
House,House on sale,3,3,71,Colegiales,Disctrict 13,230000000
Apartment,Apartment on sale,2,2,48,Saavedra,Disctrict 12,350000000
Apartment,Apartment on sale,1,2,51,Versalles,Disctrict 10,430000000
Apartment,Apartment on sale,3,3,109,Balvanera,Disctrict 3,550000000
Apartment,Apartment on sale,3,2,59,Mataderos,Disctrict 9,245000000
Apartment,Apartment on sale,3,2,56,Villa Santa Rita,Disctrict 11,162000000
Apartment,Apartment on sale,2,3,91,Villa Real,Disctrict 10,680000000
Apartment,Apartment on sale,2,3,84,La Boca,Disctrict 4,330000000
Apartment,Apartment on sale,3,1,53,Villa Santa Rita,Disctrict 11,142000000
Apartment,Apartment on sale,2,1,47,Parque Patricios,Disctrict 4,119000000
House,House on sale,3,2,86,Parque Avellaneda,Disctrict 9,348000000
Apartment,Apartment on sale,2,1,45,Villa Santa Rita,Disctrict 11,116000000
Apartment,Apartment on sale,2,1,47,Coghlan,Disctrict 12,119000000
Apartment,Apartment on sale,3,2,68,Villa Santa Rita,Disctrict 11,323000000
Apartment,Apartment on sale,2,1,48,Mataderos,Disctrict 9,130000000
Apartment,Apartment on sale,2,1,47,Puerto Madero,Disctrict 1,130000000
House,House on sale,3,4,255,Parque Patricios,Disctrict 4,1600000000
House,House on sale,3,2,68,Nueva Pompeya,Disctrict 4,228000000
Apartment,Apartment on sale,3,3,83,Constitucion,Disctrict 1,840000000
Apartment,Apartment on sale,2,2,61,Palermo,Disctrict 14,315000000
Apartment,Apartment on sale,3,3,77,Balvanera,Disctrict 3,325000000
Apartment,Apartment on sale,3,3,190,Parque Chas,Disctrict 15,1495000000
Apartment,Apartment on sale,1,2,44,Villa Luro,Disctrict 10,397000000
Apartment,Apartment on sale,1,2,44,Caballito,Disctrict 6,397000000
Apartment,Apartment on sale,2,2,63,Coghlan,Disctrict 12,455000000
Apartment,Apartment on sale,1,2,64,La Paternal,Disctrict 15,575000000
Apartment,Apartment on sale,1,2,51,Agronomia,Disctrict 15,327000000
House,House on sale,5,5,264,Villa Real,Disctrict 10,750000000
Apartment,Apartment on sale,2,2,68,Monte Castro,Disctrict 10,272250000
Apartment,Apartment on sale,3,2,99,Montserrat,Disctrict 1,440000000
Apartment,Apartment on sale,1,1,50,Belgrano,Disctrict 13,265000000
Apartment,Apartment on sale,2,2,78,Recoleta,Disctrict 2,510000000
Apartment,Apartment on sale,3,4,175,Villa Pueyrredon,Disctrict 12,795000000
Apartment,Apartment on sale,5,4,150,Villa Soldati,Disctrict 8,550000000
Apartment,Apartment on sale,3,3,114,Floresta,Disctrict 10,785000000
Apartment,Apartment on sale,3,3,115,Palermo,Disctrict 14,570000000
Apartment,Apartment on sale,3,2,76,Chacarita,Disctrict 15,340000000
Apartment,Apartment on sale,2,3,76,Almagro,Disctrict 5,475000000
Apartment,Apartment on sale,2,2,66,Puerto Madero,Disctrict 1,440000000
Apartment,Apartment on sale,4,3,115,Boedo,Disctrict 5,500000000
Apartment,Apartment on sale,3,3,120,Coghlan,Disctrict 12,450000000
Apartment,Apartment on sale,3,3,220,Villa Real,Disctrict 10,1540000000
Apartment,Apartment on sale,3,2,48,Villa Crespo,Disctrict 15,171000000
Apartment,Apartment on sale,3,2,79,Villa Devoto,Disctrict 11,300000000
Apartment,Apartment on sale,3,4,206,Liniers,Disctrict 9,1250000000
Apartment,Apartment on sale,3,2,79,Villa Crespo,Disctrict 15,300000000
Apartment,Apartment on sale,2,1,47,Chacarita,Disctrict 15,155000000
Apartment,Apartment on sale,3,3,149,Versalles,Disctrict 10,1170000000
Apartment,Apartment on sale,3,3,128,Villa Gral. Mitre,Disctrict 11,890000000
Apartment,Apartment on sale,3,1,47,Villa del Parque,Disctrict 11,130000000
Apartment,Apartment on sale,2,2,53,Constitucion,Disctrict 1,371000000
Apartment,Apartment on sale,1,2,51,Villa Real,Disctrict 10,320000000
Apartment,Apartment on sale,2,1,56,Colegiales,Disctrict 13,217000000
Apartment,Apartment on sale,1,2,59,Villa Ortazar,Disctrict 15,369000000
Apartment,Apartment on sale,2,2,61,Recoleta,Disctrict 2,285000000
